activity_id,datetime_local,date,name,sport,distance_km,duration_s,pace_str,pace_s_per_km,avg_hr,max_hr,avg_cadence_spm,avg_power,avg_gct_ms,avg_vert_osc_mm,avg_vert_ratio,avg_stride_m,vo2max,aerobic_te,anaerobic_te,training_load,rpe,body_battery_delta,calories,elev_gain_m,location,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s
18182276432,2025-02-04T06:24:05,2025-02-04,Relax and Focus (Short),TRAINING,0.0,335.0,,,78.0,98.0,,,,,,,,0.0,0.0,0.1,,0.0,,,,0.0,0.0,0.0,0.0,0.0
18182310044,2025-02-04T06:33:26,2025-02-04,Mumbai Running,RUNNING,0.618,274.0,07:23,443.4,144.0,159.0,156.0,197.0,292.0,8.8,10.27,0.854,,0.8999999761581421,0.0,11.1,10.0,-1.0,146.6507,,Mumbai,16000.0,44000.0,201927.0,0.0,0.0
18201392563,2025-02-06T07:13:34,2025-02-06,Mumbai Running,RUNNING,0.662,324.0,08:10,490.2,142.0,158.0,146.0,181.0,293.1,8.6,10.31,0.848,43.0,1.100000023841858,0.0,12.6,10.0,-1.0,167.6008,,Mumbai,23991.0,53013.0,214832.0,0.0,0.0
18222522722,2025-02-08T17:45:37,2025-02-08,Mumbai - Speed Repeats,RUNNING,11.559,5285.0,07:37,457.2,172.0,203.0,130.0,177.0,254.0,7.9,8.3,1.015,43.0,5.0,4.199999809265137,440.5,70.0,-26.0,3217.9353599999995,3400.0,Mumbai,115485.0,230688.0,1632007.0,1190219.0,2100966.0
18227043231,2025-02-09T06:11:09,2025-02-09,Mumbai Running,RUNNING,9.949,4504.0,07:33,452.7,160.0,178.0,158.0,187.0,276.0,7.9,9.5,0.832,43.0,3.700000047683716,1.0,156.0,50.0,-8.0,2497.2519199999997,1900.0,Mumbai,203994.0,492740.0,619999.0,3163980.0,0.0
18236413317,2025-02-10T07:14:20,2025-02-10,Mumbai Running,RUNNING,0.803,1093.0,22:42,1361.7,102.0,120.0,56.0,39.0,,5.6,6.93,0.88,,0.20000000298023224,0.0,3.2,10.0,-1.0,263.97126,,Mumbai,529287.0,0.0,0.0,0.0,0.0
18432285953,2025-03-04T06:57:50,2025-03-04,Mumbai Running,RUNNING,6.008,2769.0,07:41,460.9,180.0,194.0,156.0,192.0,286.6,8.3,10.1,0.83,43.0,4.199999809265137,0.0,113.8,70.0,-15.0,1659.2479199999998,1600.0,Mumbai,8999.0,42713.0,216395.0,975002.0,1525995.0
18609572160,2025-03-23T06:21:54,2025-03-23,Mumbai Running,RUNNING,12.01,5120.0,07:06,426.3,184.0,197.0,166.0,205.0,279.5,8.4,9.91,0.846,42.0,5.0,0.0,237.4,90.0,-36.0,3209.55532,3300.0,Mumbai,15995.0,55977.0,357143.0,1200857.0,3462648.0
18666640734,2025-03-29T08:12:51,2025-03-29,Mumbai Running,RUNNING,5.215,2304.0,07:22,441.8,180.0,193.0,160.0,200.0,284.5,8.4,10.11,0.837,42.0,4.599999904632568,0.5,116.1,60.0,-19.0,1391.08664,1000.0,Mumbai,15999.0,135371.0,145413.0,485493.0,1521460.0
18749091995,2025-04-06T18:08:08,2025-04-06,Mumbai Running,RUNNING,10.009,4593.0,07:39,458.9,182.0,193.0,154.0,191.0,285.4,8.3,9.94,0.847,42.0,5.0,0.6000000238418579,183.9,70.0,-9.0,2727.70302,1100.0,Mumbai,29153.0,72930.0,377579.0,1287994.0,2824911.0
18773497601,2025-04-09T07:16:49,2025-04-09,Mumbai Running,RUNNING,7.001,3376.0,08:02,482.2,177.0,190.0,152.0,176.0,282.9,7.9,9.77,0.814,42.0,4.5,0.0,106.5,60.0,-26.0,1839.4187799999997,1300.0,Mumbai,30564.0,86329.0,472057.0,1866619.0,919958.0
18811531119,2025-04-13T06:10:26,2025-04-13,Mumbai Running,RUNNING,10.219,4396.0,07:10,430.2,177.0,190.0,164.0,199.0,275.9,8.2,9.7,0.847,41.0,5.0,1.5,228.6,80.0,-24.0,2648.09264,300.0,Mumbai,15001.0,41000.0,537190.0,2193910.0,1595583.0
18878280858,2025-04-20T05:42:38,2025-04-20,Mumbai Running,RUNNING,16.351,7302.0,07:27,446.6,181.0,193.0,160.0,193.0,281.0,8.2,9.9,0.837,40.0,5.0,0.0,279.7,100.0,-28.0,4315.7206,3700.0,Mumbai,22736.0,45483.0,390096.0,3746476.0,3096814.0
18946036401,2025-04-27T06:07:09,2025-04-27,Mumbai Running,RUNNING,19.004,8500.0,07:27,447.3,184.0,194.0,156.0,192.0,280.3,8.2,9.74,0.857,40.0,5.0,0.30000001192092896,385.9,100.0,-43.0,5107.6343799999995,6400.0,Mumbai,24784.0,22000.0,319889.0,3104791.0,5027834.0
18993384999,2025-05-01T19:42:37,2025-05-01,Mumbai Running,RUNNING,3.006,2374.0,13:10,789.7,113.0,122.0,104.0,81.0,,5.8,7.61,0.786,,1.100000023841858,0.0,12.6,10.0,-2.0,674.59322,300.0,Mumbai,2326032.0,0.0,0.0,0.0,0.0
19017971234,2025-05-04T06:07:03,2025-05-04,Mumbai Running,RUNNING,16.002,6958.0,07:15,434.8,178.0,193.0,160.0,200.0,280.0,8.4,9.77,0.867,41.0,5.0,0.10000000149011612,323.2,90.0,-30.0,4173.2599199999995,6400.0,Mumbai,20970.0,33984.0,643727.0,4864019.0,1388711.0
19022944791,2025-05-04T19:05:40,2025-05-04,Relax and Focus (Short),TRAINING,0.0,336.0,,,84.0,95.0,,,,,,,,0.0,0.0,0.1,,0.0,,,,0.0,0.0,0.0,0.0,0.0
19086698363,2025-05-11T05:47:16,2025-05-11,Mumbai Running,RUNNING,16.004,7071.0,07:22,441.8,184.0,197.0,162.0,200.0,283.4,8.4,10.0,0.841,40.0,5.0,0.0,317.0,100.0,-25.0,4240.30024,5800.0,Mumbai,12407.0,26999.0,147999.0,3872193.0,3011008.0
19157188954,2025-05-18T05:36:32,2025-05-18,Mumbai Running,RUNNING,12.73,5402.0,07:04,424.4,179.0,196.0,162.0,208.0,282.7,8.6,9.97,0.863,40.0,5.0,0.30000001192092896,270.9,70.0,-19.0,3272.4056199999995,6300.0,Mumbai,21000.0,44296.0,541265.0,3149700.0,1636638.0
19177341785,2025-05-20T07:05:18,2025-05-20,1.1: 7K Easy,RUNNING,7.057,3190.0,07:32,452.0,180.0,190.0,162.0,194.0,284.7,8.2,10.17,0.809,40.0,3.700000047683716,0.0,121.1,50.0,-15.0,1793.32856,1800.0,Mumbai,16413.0,22001.0,185539.0,2660662.0,305384.0
