date,sleep_total_min,sleep_deep_min,sleep_light_min,sleep_rem_min,sleep_awake_min,sleep_score,sleep_quality_score,sleep_recovery_score,resp_avg,sleep_stress_avg,restless_moments,hrv_overnight_ms,hrv_status,hrv_weekly_avg,overnight_hr,rhr,spo2_status,vo2max_running,vo2max_fitnessage,bio_age,bmi,acute_load,chronic_load,acwr,acwr_status,training_status,fitness_trend,readiness_score,readiness_level,recovery_time_hr,pred_5k_s,pred_10k_s,pred_half_s,pred_marathon_s
2025-10-15,514.0,102.0,309.0,103.0,15.0,84.0,81.0,67.0,14.38,21.6,38.0,38.0,IN_RANGE,35.0,68.0,,ONBOARDING,,,,,714.0,410.0,1.7,HIGH,PRODUCTIVE,INCREASING,50.0,MODERATE,1177.0,1535.0,3304.0,7315.0,16142.0
2025-10-16,,,,,,,,,,,,,,35.0,,63.0,,,50.9,19.4,20.7,612.0,397.0,1.5,HIGH,PRODUCTIVE,INCREASING,50.0,MODERATE,0.0,1533.0,3300.0,7315.0,16144.0
2025-10-17,448.0,89.0,235.0,124.0,7.0,86.0,89.0,72.0,15.21,18.9,39.0,36.0,IN_RANGE,36.0,68.0,63.0,ONBOARDING,,50.9,19.4,20.7,510.0,384.0,1.3,OPTIMAL,PRODUCTIVE,NO_CHANGE,75.0,HIGH,1.0,1532.0,3299.0,7315.0,16143.0
2025-10-18,397.0,53.0,232.0,112.0,7.0,77.0,84.0,70.0,14.58,20.0,39.0,44.0,IN_RANGE,37.0,64.0,63.0,ONBOARDING,,50.9,19.4,20.7,408.0,371.0,1.0,OPTIMAL,PRODUCTIVE,NO_CHANGE,71.0,MODERATE,1.0,1530.0,3297.0,7315.0,16143.0
2025-10-19,305.0,42.0,199.0,64.0,26.0,58.0,68.0,48.0,15.13,29.8,36.0,31.0,IN_RANGE,36.0,70.0,63.0,ONBOARDING,42.0,50.9,19.4,20.7,592.0,410.0,1.4,OPTIMAL,PRODUCTIVE,NO_CHANGE,1.0,POOR,4835.0,1565.0,3350.0,7315.0,16386.0
2025-10-20,480.0,84.0,341.0,55.0,0.0,81.0,80.0,67.0,15.29,21.5,41.0,33.0,IN_RANGE,36.0,71.0,,ONBOARDING,,,,,461.0,404.0,1.1,OPTIMAL,PRODUCTIVE,NO_CHANGE,1.0,POOR,3359.0,1564.0,3350.0,7315.0,16388.0
2025-10-21,369.0,71.0,246.0,52.0,7.0,72.0,79.0,68.0,14.96,21.0,35.0,37.0,IN_RANGE,36.0,68.0,,ONBOARDING,,,,,331.0,398.0,0.8,OPTIMAL,MAINTAINING,NO_CHANGE,50.0,MODERATE,887.0,1563.0,3349.0,7315.0,16397.0
2025-10-22,466.0,60.0,322.0,84.0,4.0,88.0,85.0,84.0,14.64,14.1,38.0,40.0,IN_RANGE,37.0,67.0,,ONBOARDING,,,,,200.0,393.0,0.5,LOW,MAINTAINING,NO_CHANGE,75.0,HIGH,377.0,1561.0,3348.0,7315.0,16397.0
2025-10-23,416.0,57.0,288.0,71.0,31.0,73.0,72.0,73.0,15.31,18.7,36.0,38.0,IN_RANGE,37.0,70.0,63.0,ONBOARDING,,50.9,19.4,20.7,172.0,368.0,0.4,LOW,RECOVERY,NO_CHANGE,81.0,HIGH,1.0,1559.0,3346.0,7315.0,16393.0
2025-10-24,436.0,36.0,308.0,92.0,7.0,77.0,78.0,68.0,15.75,21.2,43.0,35.0,IN_RANGE,37.0,71.0,63.0,ONBOARDING,,50.9,19.4,20.7,143.0,344.0,0.4,LOW,RECOVERY,NO_CHANGE,85.0,HIGH,1.0,1557.0,3345.0,7315.0,16388.0
